statuscode,readable,leds_primary,leds_secondary
HDHBF_northwest,HDHBF_northwest,26-13&27-12&28-11,29-10
HDHBF_southeast,HDHBF_southeast,29-10&28-11&27-12,26-13
west_1_outbound,west_1_outbound,25-14&26-13&27-12,28-11
west_1_inbound,west_1_inbound,28-11&27-12&26-13,25-14
west_2_outbound,west_2_outbound,24-16&24-15&25-14,26-13
west_2_inbound,west_2_inbound,26-13&25-14&24-15,24-16
west_3_outbound,west_3_outbound,24-18&24-17&24-16,24-15
west_3_inbound,west_3_inbound,24-15&24-16&24-17,24-18
west_4_outbound,west_4_outbound,24-20&24-19&24-18,24-17
west_4_inbound,west_4_inbound,24-17&24-18&24-19,24-20
west_5_outbound,west_5_outbound,24-22&24-21&24-20,24-19
west_5_inbound,west_5_inbound,24-19&24-20&24-21,24-22
west_6_outbound,west_6_outbound,22-24&23-23&24-22,24-21
west_6_inbound,west_6_inbound,24-21&24-22&23-23,22-24
west_7_outbound,west_7_outbound,20-26&21-25&22-24,23-23
west_7_inbound,west_7_inbound,23-23&22-24&21-25,20-26
west_8_outbound,west_8_outbound,18-28&19-27&20-26,21-25
west_8_inbound,west_8_inbound,21-25&20-26&19-27,18-28
west_9_outbound,west_9_outbound,16-30&17-29&18-28,19-27
west_9_inbound,west_9_inbound,19-27&18-28&17-29,16-30
west_10_outbound,west_10_outbound,15-31&15-31&16-30,17-29
west_10_inbound,west_10_inbound,17-29&16-30&15-31,15-31
west_11_outbound,west_11_outbound,15-31&15-31&15-31,15-31
west_11_inbound,west_11_inbound,15-31&15-31&15-31,15-31
north_1_outbound,north_1_outbound,26-13&27-12&28-11,29-10
north_1_inbound,north_1_inbound,29-10&28-11&27-12,26-13
north_2_outbound,north_2_outbound,25-14&26-13&27-12,28-11
north_2_inbound,north_2_inbound,28-11&27-12&26-13,25-14
north_3_outbound,north_3_outbound,24-16&24-15&25-14,26-13
north_3_inbound,north_3_inbound,26-13&25-14&24-15,24-16
north_4_outbound,north_4_outbound,24-18&24-17&24-16,24-15
north_4_inbound,north_4_inbound,24-15&24-16&24-17,24-18
north_5_outbound,north_5_outbound,24-20&24-19&24-18,24-18
