led,color
27-0,050505
17-1,3D422A
18-1,3D422A
19-1,3D422A
20-1,3D422A
21-1,3D422A
22-1,3D422A
23-1,3D422A
24-1,3D422A
25-1,3D422A
28-1,050505
16-2,3D422A
23-2,3D422A
25-2,3D422A
29-2,050505
60-2,3D422A
61-2,3D422A
15-3,3D422A
23-3,3D422A
25-3,3D422A
30-3,050505
31-3,3D422A
32-3,3D422A
33-3,3D422A
34-3,3D422A
35-3,3D422A
36-3,3D422A
37-3,3D422A
38-3,3D422A
39-3,3D422A
40-3,3D422A
41-3,3D422A
59-3,3D422A
14-4,3D422A
23-4,3D422A
25-4,3D422A
30-4,3D422A
31-4,050505
42-4,3D422A
58-4,3D422A
7-5,3D422A
8-5,3D422A
9-5,3D422A
10-5,3D422A
11-5,3D422A
12-5,3D422A
13-5,3D422A
14-5,3D422A
23-5,3D422A
25-5,3D422A
26-5,3D422A
27-5,3D422A
28-5,3D422A
29-5,3D422A
32-5,050505
43-5,3D422A
44-5,3D422A
45-5,3D422A
46-5,3D422A
47-5,3D422A
48-5,3D422A
49-5,3D422A
50-5,3D422A
51-5,3D422A
52-5,3D422A
53-5,3D422A
54-5,3D422A
55-5,3D422A
56-5,3D422A
57-5,3D422A
6-6,3D422A
14-6,3D422A
23-6,3D422A
25-6,3D422A
26-6,3D422A
32-6,050505
0-7,3D422A
1-7,3D422A
2-7,3D422A
3-7,3D422A
4-7,3D422A
5-7,3D422A
15-7,3D422A
23-7,3D422A
25-7,3D422A
27-7,3D422A
32-7,050505
33-7,050505
34-7,050505
16-8,3D422A
23-8,3D422A
25-8,3D422A
28-8,3D422A
31-8,050505
35-8,050505
17-9,3D422A
18-9,3D422A
19-9,3D422A
20-9,3D422A
21-9,3D422A
22-9,3D422A
23-9,3D422A
24-9,3D422A
25-9,3D422A
29-9,3D422A
30-9,050505
36-9,050505
37-9,050505
38-9,050505
39-9,050505
40-9,050505
41-9,050505
42-9,050505
43-9,050505
44-9,050505
45-9,050505
46-9,050505
47-9,050505
48-9,050505
49-9,050505
50-9,050505
51-9,050505
52-9,050505
53-9,050505
54-9,050505
55-9,050505
56-9,050505
57-9,050505
58-9,050505
59-9,050505
60-9,050505
61-9,050505
62-9,050505
63-9,050505
23-10,3D422A
25-10,3D422A
29-10,050505
30-10,3D422A
23-11,3D422A
25-11,3D422A
28-11,050505
31-11,3D422A
32-11,3D422A
33-11,3D422A
34-11,3D422A
35-11,3D422A
36-11,3D422A
37-11,3D422A
38-11,3D422A
39-11,3D422A
40-11,3D422A
24-12,3D422A
27-12,050505
30-12,3D422A
41-12,3D422A
23-13,3D422A
25-13,3D422A
26-13,050505
29-13,3D422A
42-13,3D422A
0-14,050505
22-14,3D422A
25-14,050505
26-14,3D422A
28-14,3D422A
43-14,3D422A
1-15,050505
22-15,3D422A
24-15,050505
27-15,3D422A
44-15,3D422A
2-16,050505
22-16,3D422A
24-16,050505
26-16,3D422A
3-17,050505
22-17,3D422A
24-17,050505
26-17,3D422A
4-18,050505
19-18,3D422A
20-18,3D422A
21-18,3D422A
24-18,050505
26-18,3D422A
5-19,050505
18-19,3D422A
24-19,050505
27-19,3D422A
6-20,050505
17-20,3D422A
24-20,050505
28-20,3D422A
7-21,050505
16-21,3D422A
24-21,050505
28-21,3D422A
8-22,050505
15-22,3D422A
24-22,050505
28-22,3D422A
9-23,050505
14-23,3D422A
23-23,050505
28-23,3D422A
10-24,050505
13-24,3D422A
22-24,050505
28-24,3D422A
11-25,050505
12-25,3D422A
21-25,050505
28-25,3D422A
11-26,3D422A
12-26,050505
20-26,050505
28-26,3D422A
10-27,3D422A
13-27,050505
19-27,050505
28-27,3D422A
9-28,3D422A
14-28,050505
18-28,050505
28-28,3D422A
8-29,3D422A
15-29,050505
17-29,050505
28-29,3D422A
7-30,3D422A
16-30,050505
6-31,3D422A
15-31,050505
