led,color
27-0,151A25
17-1,111111
18-1,111111
19-1,111111
20-1,111111
21-1,111111
22-1,111111
23-1,111111
24-1,111111
25-1,111111
28-1,151A25
16-2,111111
23-2,111111
25-2,111111
29-2,151A25
60-2,111111
61-2,111111
15-3,111111
23-3,111111
25-3,111111
30-3,151A25
31-3,111111
32-3,111111
33-3,111111
34-3,111111
35-3,111111
36-3,111111
37-3,111111
38-3,111111
39-3,111111
40-3,111111
41-3,111111
59-3,111111
14-4,111111
23-4,111111
25-4,111111
30-4,111111
31-4,151A25
42-4,111111
58-4,111111
7-5,111111
8-5,111111
9-5,111111
10-5,111111
11-5,111111
12-5,111111
13-5,111111
14-5,111111
23-5,111111
25-5,111111
26-5,111111
27-5,111111
28-5,111111
29-5,111111
32-5,151A25
43-5,111111
44-5,111111
45-5,111111
46-5,111111
47-5,111111
48-5,111111
49-5,111111
50-5,111111
51-5,111111
52-5,111111
53-5,111111
54-5,111111
55-5,111111
56-5,111111
57-5,111111
6-6,111111
14-6,111111
23-6,111111
25-6,111111
26-6,111111
32-6,151A25
0-7,111111
1-7,111111
2-7,111111
3-7,111111
4-7,111111
5-7,111111
15-7,111111
23-7,111111
25-7,111111
27-7,111111
32-7,151A25
33-7,151A25
34-7,151A25
16-8,111111
23-8,111111
25-8,111111
28-8,111111
31-8,151A25
35-8,151A25
17-9,111111
18-9,111111
19-9,111111
20-9,111111
21-9,111111
22-9,111111
23-9,111111
24-9,111111
25-9,111111
29-9,111111
30-9,151A25
36-9,151A25
37-9,151A25
38-9,151A25
39-9,151A25
40-9,151A25
41-9,151A25
42-9,151A25
43-9,151A25
44-9,151A25
45-9,151A25
46-9,151A25
47-9,151A25
48-9,151A25
49-9,151A25
50-9,151A25
51-9,151A25
52-9,151A25
53-9,151A25
54-9,151A25
55-9,151A25
56-9,151A25
57-9,151A25
58-9,151A25
59-9,151A25
60-9,151A25
61-9,151A25
62-9,151A25
63-9,151A25
23-10,111111
25-10,111111
29-10,151A25
30-10,111111
23-11,111111
25-11,111111
28-11,151A25
31-11,111111
32-11,111111
33-11,111111
34-11,111111
35-11,111111
36-11,111111
37-11,111111
38-11,111111
39-11,111111
40-11,111111
24-12,111111
27-12,151A25
30-12,111111
41-12,111111
23-13,111111
25-13,111111
26-13,151A25
29-13,111111
42-13,111111
0-14,151A25
22-14,111111
25-14,151A25
26-14,111111
28-14,111111
43-14,111111
1-15,151A25
22-15,111111
24-15,151A25
27-15,111111
44-15,111111
2-16,151A25
22-16,111111
24-16,151A25
26-16,111111
3-17,151A25
22-17,111111
24-17,151A25
26-17,111111
4-18,151A25
19-18,111111
20-18,111111
21-18,111111
24-18,151A25
26-18,111111
5-19,151A25
18-19,111111
24-19,151A25
27-19,111111
6-20,151A25
17-20,111111
24-20,151A25
28-20,111111
7-21,151A25
16-21,111111
24-21,151A25
28-21,111111
8-22,151A25
15-22,111111
24-22,151A25
28-22,111111
9-23,151A25
14-23,111111
23-23,151A25
28-23,111111
10-24,151A25
13-24,111111
22-24,151A25
28-24,111111
11-25,151A25
12-25,111111
21-25,151A25
28-25,111111
11-26,111111
12-26,151A25
20-26,151A25
28-26,111111
10-27,111111
13-27,151A25
19-27,151A25
28-27,111111
9-28,111111
14-28,151A25
18-28,151A25
28-28,111111
8-29,111111
15-29,151A25
17-29,151A25
28-29,111111
7-30,111111
16-30,151A25
6-31,111111
15-31,151A25
