led,color
27-0,000000
17-1,111111
18-1,111111
19-1,111111
20-1,111111
21-1,111111
22-1,111111
23-1,111111
24-1,111111
25-1,111111
28-1,000000
16-2,111111
23-2,111111
25-2,111111
29-2,000000
60-2,111111
61-2,111111
15-3,111111
23-3,111111
25-3,111111
30-3,000000
31-3,111111
32-3,111111
33-3,111111
34-3,111111
35-3,111111
36-3,111111
37-3,111111
38-3,111111
39-3,111111
40-3,111111
41-3,111111
59-3,111111
14-4,111111
23-4,111111
25-4,111111
30-4,111111
31-4,000000
42-4,111111
58-4,111111
7-5,111111
8-5,111111
9-5,111111
10-5,111111
11-5,111111
12-5,111111
13-5,111111
14-5,111111
23-5,111111
25-5,111111
26-5,111111
27-5,111111
28-5,111111
29-5,111111
32-5,000000
43-5,111111
44-5,111111
45-5,111111
46-5,111111
47-5,111111
48-5,111111
49-5,111111
50-5,111111
51-5,111111
52-5,111111
53-5,111111
54-5,111111
55-5,111111
56-5,111111
57-5,111111
6-6,111111
14-6,111111
23-6,111111
25-6,111111
26-6,111111
32-6,000000
0-7,111111
1-7,111111
2-7,111111
3-7,111111
4-7,111111
5-7,111111
15-7,111111
23-7,111111
25-7,111111
27-7,111111
32-7,000000
33-7,000000
34-7,000000
16-8,111111
23-8,111111
25-8,111111
28-8,111111
31-8,000000
35-8,000000
17-9,111111
18-9,111111
19-9,111111
20-9,111111
21-9,111111
22-9,111111
23-9,111111
24-9,111111
25-9,111111
29-9,111111
30-9,000000
36-9,000000
37-9,000000
38-9,000000
39-9,000000
40-9,000000
41-9,000000
42-9,000000
43-9,000000
44-9,000000
45-9,000000
46-9,000000
47-9,000000
48-9,000000
49-9,000000
50-9,000000
51-9,000000
52-9,000000
53-9,000000
54-9,000000
55-9,000000
56-9,000000
57-9,000000
58-9,000000
59-9,000000
60-9,000000
61-9,000000
62-9,000000
63-9,000000
23-10,111111
25-10,111111
29-10,000000
30-10,111111
23-11,111111
25-11,111111
28-11,000000
31-11,111111
32-11,111111
33-11,111111
34-11,111111
35-11,111111
36-11,111111
37-11,111111
38-11,111111
39-11,111111
40-11,111111
24-12,111111
27-12,000000
30-12,111111
41-12,111111
23-13,111111
25-13,111111
26-13,000000
29-13,111111
42-13,111111
0-14,000000
22-14,111111
25-14,000000
26-14,111111
28-14,111111
43-14,111111
1-15,000000
22-15,111111
24-15,000000
27-15,111111
44-15,111111
2-16,000000
22-16,111111
24-16,000000
26-16,111111
3-17,000000
22-17,111111
24-17,000000
26-17,111111
4-18,000000
19-18,111111
20-18,111111
21-18,111111
24-18,000000
26-18,111111
5-19,000000
18-19,111111
24-19,000000
27-19,111111
6-20,000000
17-20,111111
24-20,000000
28-20,111111
7-21,000000
16-21,111111
24-21,000000
28-21,111111
8-22,000000
15-22,111111
24-22,000000
28-22,111111
9-23,000000
14-23,111111
23-23,000000
28-23,111111
10-24,000000
13-24,111111
22-24,000000
28-24,111111
11-25,000000
12-25,111111
21-25,000000
28-25,111111
11-26,111111
12-26,000000
20-26,000000
28-26,111111
10-27,111111
13-27,000000
19-27,000000
28-27,111111
9-28,111111
14-28,000000
18-28,000000
28-28,111111
8-29,111111
15-29,000000
17-29,000000
28-29,111111
7-30,111111
16-30,000000
6-31,111111
15-31,000000
