led,color
27-0,666D4C
17-1,111111
18-1,111111
19-1,111111
20-1,111111
21-1,111111
22-1,111111
23-1,111111
24-1,111111
25-1,111111
28-1,666D4C
16-2,111111
23-2,111111
25-2,111111
29-2,666D4C
60-2,111111
61-2,111111
15-3,111111
23-3,111111
25-3,111111
30-3,666D4C
31-3,111111
32-3,111111
33-3,111111
34-3,111111
35-3,111111
36-3,111111
37-3,111111
38-3,111111
39-3,111111
40-3,111111
41-3,111111
59-3,111111
14-4,111111
23-4,111111
25-4,111111
30-4,111111
31-4,666D4C
42-4,111111
58-4,111111
7-5,111111
8-5,111111
9-5,111111
10-5,111111
11-5,111111
12-5,111111
13-5,111111
14-5,111111
23-5,111111
25-5,111111
26-5,111111
27-5,111111
28-5,111111
29-5,111111
32-5,666D4C
43-5,111111
44-5,111111
45-5,111111
46-5,111111
47-5,111111
48-5,111111
49-5,111111
50-5,111111
51-5,111111
52-5,111111
53-5,111111
54-5,111111
55-5,111111
56-5,111111
57-5,111111
6-6,111111
14-6,111111
23-6,111111
25-6,111111
26-6,111111
32-6,666D4C
0-7,111111
1-7,111111
2-7,111111
3-7,111111
4-7,111111
5-7,111111
15-7,111111
23-7,111111
25-7,111111
27-7,111111
32-7,666D4C
33-7,666D4C
34-7,666D4C
16-8,111111
23-8,111111
25-8,111111
28-8,111111
31-8,666D4C
35-8,666D4C
17-9,111111
18-9,111111
19-9,111111
20-9,111111
21-9,111111
22-9,111111
23-9,111111
24-9,111111
25-9,111111
29-9,111111
30-9,666D4C
36-9,666D4C
37-9,666D4C
38-9,666D4C
39-9,666D4C
40-9,666D4C
41-9,666D4C
42-9,666D4C
43-9,666D4C
44-9,666D4C
45-9,666D4C
46-9,666D4C
47-9,666D4C
48-9,666D4C
49-9,666D4C
50-9,666D4C
51-9,666D4C
52-9,666D4C
53-9,666D4C
54-9,666D4C
55-9,666D4C
56-9,666D4C
57-9,666D4C
58-9,666D4C
59-9,666D4C
60-9,666D4C
61-9,666D4C
62-9,666D4C
63-9,666D4C
23-10,111111
25-10,111111
29-10,666D4C
30-10,111111
23-11,111111
25-11,111111
28-11,666D4C
31-11,111111
32-11,111111
33-11,111111
34-11,111111
35-11,111111
36-11,111111
37-11,111111
38-11,111111
39-11,111111
40-11,111111
24-12,111111
27-12,666D4C
30-12,111111
41-12,111111
23-13,111111
25-13,111111
26-13,666D4C
29-13,111111
42-13,111111
0-14,666D4C
22-14,111111
25-14,666D4C
26-14,111111
28-14,111111
43-14,111111
1-15,666D4C
22-15,111111
24-15,666D4C
27-15,111111
44-15,111111
2-16,666D4C
22-16,111111
24-16,666D4C
26-16,111111
3-17,666D4C
22-17,111111
24-17,666D4C
26-17,111111
4-18,666D4C
19-18,111111
20-18,111111
21-18,111111
24-18,666D4C
26-18,111111
5-19,666D4C
18-19,111111
24-19,666D4C
27-19,111111
6-20,666D4C
17-20,111111
24-20,666D4C
28-20,111111
7-21,666D4C
16-21,111111
24-21,666D4C
28-21,111111
8-22,666D4C
15-22,111111
24-22,666D4C
28-22,111111
9-23,666D4C
14-23,111111
23-23,666D4C
28-23,111111
10-24,666D4C
13-24,111111
22-24,666D4C
28-24,111111
11-25,666D4C
12-25,111111
21-25,666D4C
28-25,111111
11-26,111111
12-26,666D4C
20-26,666D4C
28-26,111111
10-27,111111
13-27,666D4C
19-27,666D4C
28-27,111111
9-28,111111
14-28,666D4C
18-28,666D4C
28-28,111111
8-29,111111
15-29,666D4C
17-29,666D4C
28-29,111111
7-30,111111
16-30,666D4C
6-31,111111
15-31,666D4C
